Date,Top1,Top2,Top3,Top4,Top5,Top6,Top7,Top8,Top9,Top10,Top11,Top12,Top13,Top14,Top15,Top16,Top17,Top18,Top19,Top20,Top21,Top22,Top23,Top24,Top25
2019-07-02,June was the hottest month ever recorded on Earth,"Japanese officials play down Trump's security treaty criticisms, claim president's remarks not always 'official' US position: Foreign Ministry official pointed out Trump has made “various remarks about almost everything,” and many of them are different from the official positions held by the US govt",Russia paid radio broadcaster $1.4 million to air Kremlin propaganda in DC,Vancouver votes to demand fossil fuel companies pay for climate change,"Chinese border guards put secret surveillance app on tourists' phones: Software extracts emails, texts and contacts and could be used to track movements",Antarctica has lost more ice in four years than the Arctic has in 34 years,"An area of Amazon rainforest roughly the size of a football pitch is now being cleared every single minute, according to satellite data",Russia warns U.S. politicians against blaming it for anything during 2020 race,"Boeing 737 Max: Victim families say they received no support, apology",UK warns China of serious consequences if Hong Kong rights not honored,Britain’s new Brexit passports to be made in Poland,"Study suggests Russian social media trolls had impact on 2016 election - Every 25,000 retweets of Russian accounts correlated to a 1% increase in Trump's poll numbers one week later",Boris Johnson and Jeremy Hunt have been accused of trying to turn the UK into a haven for tax evaders and money launderers after the Tory leadership rivals each backed the creation of “freeports” on the east coast.,"Taiwan's president to visit U.S. in July, angering China","Brazil: Gold miners invade Amazon, bring death, disease 'Illegal gold miners invade tribal lands in Brazil'",Kazakhstan rewrites its alphabet to shed its Soviet past,Two French cyclists die in Europe heatwave as death toll rises to seven | It came after France recorded its all-time highest temperature of 45.9C in Villevieille on Friday. The heat was comparable to August temperatures in Death Valley,'We are British!' Hong Kong residents 'don't accept China' and plead for UK help,UN warns Italy against criminalizing sea rescue,Chinese paper calls for 'zero tolerance' of Hong Kong protesters who stormed building | World news,"Donald Trump has threatened fresh tariffs on $4bn (£3,2bn) of European products including cheese, scotch whisky and olives, ratcheting up pressure on the EU in a long-running row over aircraft subsidies.",Israel says it is bracing militarily for possible U.S.-Iran escalation,China Is Forcing Tourists to Install Text-Stealing Malware at its Border,14 Russian sailors killed in fire amid submarine speculation | CBC News,"""It's Time to Fight Back"": Hundreds of #CloseTheCamps Rallies Planned Across the Country Amid Reports of Abuse in Detention Centers"
2019-07-03,"‘This. Hurts. Babies’: Canadian Doctors alarmed at weekend courses teaching chiropractors how to adjust newborn spines - The International Chiropractic Pediatric Association, which has falsely claimed that mercury in vaccines causes autism, is organizing the weekend courses.",The FBI Somehow Lost Its Files About White Supremacist Forum Stormfront: The feds can’t find some of its own investigative records about the hateful neo-Nazi haven.,Trump pleads with Mueller to ‘stick to report’ and not reveal further details about investigation,Pentagon Warns That America Is Enabling Putin’s Plan for Global Dominance,"Attempts to 'erase the science' at UN climate talks: Oil producing countries are trying to ""erase the science"" on keeping the world's temperatures below 1.5C, say some delegates at UN talks in Bonn.",Leonardo DiCaprio is joining with billionaire investors and philanthropists Laurene Powell Jobs and Brian Sheth to create a new nonprofit environmental powerhouse charged with tackling climate change and the loss of biodiversity.,Owners of former Trump hotel in Panama say president’s company evaded taxes,"The BBC increased its salary bill for presenters by £11 million last year, as Theresa May demanded to know how the corporation can justify such a rise while cutting off free television licences for the over-75s.","U.S., Germany slam China at U.N. Security Council for detaining more than one million ethnic Uighurs and other Muslims, accusing Beijing of depriving them of their rights, diplomats said.","World powers should reconsider holding the next Group of 20 summit in Saudi Arabia without accountability over the killing of Jamal Khashoggi, a UN expert who probed his death said Tuesday",U.N. investigator says Saudi Arabia should not host G-20 summit after Khashoggi killing,Amazon destruction accelerates 60% to one and a half soccer fields every minute,Engineer faces 219 years in prison for smuggling US military chips to China,A global study of 66 million young people shows a dramatic reduction in cancer-causing infections after vaccination against HPV. Experts say it’s a perfect example of the effectiveness of vaccination and herd immunity.,Austrian parliament backs EU's first total ban of weedkiller glyphosate,"Patient who uses 100 grams of pot per day granted right to possess a kilogram at a time - The Canadian Federal Court has granted a medical cannabis patient the right to possess a kilogram of marijuana at a time, ruling that the 150-gram regulatory cap violates his constitutional rights.","Cockroaches are becoming almost impossible to kill as they build resistance to insecticides, study finds","Venezuelan boy, 16, blinded in both eyes after being shot in the face by Nicolas Maduro's henchmen while protesting fuel shortages","China told Britain to keep its hands off Hong Kong on Wednesday while London called for Beijing to honor the agreements made when the city was handed over in 1997, escalating a diplomatic spat over the former British colony.","China Is Forcing Tourists to Install Text-Stealing Malware at its Border - The malware downloads a tourist’s text messages, calendar entries, and phone logs, as well as scans the device for over 70,000 different files.","A US insurance company has just announced it will stop supporting coal: ""Chubb recognizes the reality of climate change and the substantial impact of human activity on our planet.""","China’s ‘disturbing’ missile tests contradict vow not to militarise South China Sea, says US","Fracking should be banned, the UK must take global leadership on the climate emergency and a royal commission should decide how to build homes in an environmentally sustainable manner, an influential group of Conservative MPs has said.","Mexico deported 33 percent more foreigners in June after the country agreed to take ""unprecedented"" steps to reduce migration in order to avoid US President Donald Trump's threatened tariffs. The total number of deportations from Mexico in June was 21,912, up from 16,507 in May",Anime brings in more than $19 billion a year. Its artists are earning barely enough to survive.
2019-07-04,"Israel is systematically removing from the archives evidence of 1948 expulsion of Arabs, including shocking testimony of massacres, rape and looting",'This is not democracy': European Parliament unites to condemn selection of new EU Commission president behind closed doors | Ursula von der Leyen chosen as the leader of the EU’s executive branch despite the fact she was not on the ballot paper as a candidate and has no manifesto,"Insects could die out ‘in worst extinction since the dinosaurs’, experts warn | The total mass of insects on our planet is dropping by 2.5% a year - meaning that insects could be wiped out altogether within a century.",Climate scientist calls for 'world war type mobilization' to combat climate change,"11% of destroyed moist tropical forests could be restored to boost climate, environment: ""Restoring tropical forests is fundamental to the planet's health, now and for generations to come,"" said lead author Pedro Brancalion, from the University of São Paulo, Brazil.",Environmental Protest Breaks out in China’s Wuhan City,The former environment minister Melissa Price acknowledged that approval of a uranium mine in Western Australia could lead to the extinction of up to 12 native species but went ahead with the decision anyway,Tree planting 'has mind-blowing potential' to tackle climate crisis | Environment,Border agency knew about secret Facebook group for years,"Citing $69 Trillion Price Tag by 2100, Moody's Warns Central Banks of Far-Reaching Economic Damage of Climate Crisis. ""There is no denying it: The longer we wait to take bold action to curb emissions, the higher the costs will be for all of us.""",It could take millennials up to 29 years to save enough money to afford a home in some of Canada’s biggest cities. “We’ve been sounding alarm bells in B.C. and across country. Affordability is a way bigger problem than we’ve been talking about.”,"Chinese tourists break into eco park, strip it of all its lotus flowers",Japan offers to be ‘honest broker’ for Palestinian-Israeli peace,"Security forces use rape, sodomy and electrocution of genitals to torture people in Kashmir: JKCCS Report",UK police's facial recognition system has an 81 percent error rate,"Bitcoin uses as much energy as the whole of Switzerland, a new online tool from the University of Cambridge shows - using around seven gigawatts of electricity, equal to 0.21% of the world's supply; as much power as would be generated by seven Dungeness nuclear power plants at once.","More than 500 workers at a Sydney, Australia council have walked off the job after management allegedly refused to heed their concerns over the use of glyphosate-based weed killer Roundup","Without climate action, economic growth 'will be reversed', economist warns","Egypt has called on auction house Christie's to cancel the sale of a 3,000-year-old bust of ancient boy-king Tutankhamun. The country's foreign ministry claims that the bust was probably stolen during the 1970s from a temple.",Research shows Planting trees could remove 2/3 of emissions in the atmosphere,"Jared Kushner calls Palestinian leadership ""stupid,"" suggests refugees should stay where they are","‘Greedy industry could destroy wonders of the deep ocean before we even have a chance to study them,’ | Ocean floor area five times bigger than UK set to be industrially mined - could also result in vast amounts of carbon stored in the ocean floor being released",Pakistan No. 1 in Child Pornography and Abuse says Human Rights Minister,Tibetans ordered to replace Dalai Lama portraits with Chinese party leaders or risk losing aid,"President Donald Trump's Fourth of July celebration will feature $750,000 of donated fireworks from an Ohio retailer who has lobbied the White House against expanded tariffs on Chinese imports."
2019-07-05,India introduced a surcharge of 37% over the already existing 30% tax on the super rich. Making the effective peak rate at 42.7% and a super rich person in India is anybody earning above $725k.,'Our biggest compliment yet!' Greta Thurberg thanks Opec chief for complaining that climate change campaigners are biggest threat to oil sector,China separating Muslim children from families,"Researchers say an area the size of the US is available for planting trees around the world, and this could have a dramatic impact on climate change.",People In Asia Are Sick Of Western ‘Begpackers’ Asking Locals To Fund Their Travels For Them,Study Finds Holding Governments and Corporations Legally Accountable for Climate Crisis 'Has Become a Global Phenomenon',"German priest causes church walkout as preaches for predator priest forgiveness - The cleric said he wanted to tell parishioners about the biblically important meaning of forgiveness. He regretted that predator priests were labelled ""criminals"" but many of his congregation walked out of the church.","Scientists Fear Extinction After Six Rare Right Whales Die In A Month: 'There are only some 400 of the animals left on Earth, and fewer than 100 of them are females of reproductive age.'",Police break up huge 'modern day slavery' ring in UK,UK ISP group names Mozilla 'Internet Villain' for supporting 'DNS-over-HTTPS',More than two dozen countries formally called on Thursday for a United Nations investigation into thousands of killings in Philippine President Rodrigo Duterte’s war on drugs,A jailed former governor of Rio de Janeiro state told a judge on Thursday that he paid about $2 million for the votes of International Olympic Committee members to award the Brazilian city the 2016 Summer Games,"India heat kills over 100, experts say areas could be too hot to live","Neo-Nazi network facing a ban in Germany: Germany may soon ban the neo-Nazi group Combat 18 as a terrorist organization. Given Germany's history, and a recent killing allegedly tied to neo-Nazi circles, the main mystery may be why it hasn't been banned yet","Pro-life or Christian societies must not be blocked on campus due to 'hypersensitivity': David Isaac, chair of the Equalities and Human Rights Commission, said universities should be “bastions of debate and defenders of expression”.","Philippines senator defends police over toddler's death in drugs raid - A senator who oversaw the most violent period in the Philippines’ war on drugs has dismissed the killing of a three-year-old girl in a police drug operation as collateral damage, stating that “shit happens”.","Second son of Hamas founder leaves the group, calling it a ""racist terror organization"".",The secretary general of Opec says there is a growing mass mobilisation of world opinion against oil - 'Biggest compliment yet' - Greta Thunberg | Environment,"Venezuelan security forces are sending death squads to murder young men (+5.000 last year) and stage the scenes to make it look like the victims resisted arrest, the United Nations has said in a report.",Indian ultra-rich to pay almost half their income in taxes from this year.,"A 3,300-year-old sculpture of Tutankhamun has sold at auction for more than £4.7m - despite Egypt's demands for it to be returned.",Former Rio de Janeiro governor tells judge he paid $2 million bribe to host 2016 Olympics,"Surgeons in Australia have managed to restore arm function in paralyzed patients, allowing them to feed themselves, use tools and handle electronic devices, according to the results of a groundbreaking study released Friday","With Alaska in the midst of an unprecedented heat wave that experts say is driven by the climate crisis, Anchorage reached an all-time high of 90 degrees on Thursday",Tunisian Prime Minister has banned the wearing of the niqab face veil in public institutions “for security reasons”. The decision follows Tuesday’s suicide bombing in Tunis by a wanted militant.
2019-07-06,"A trillion new trees could be the best solution to climate change, study says",White supremacist engulfed in flames after pouring petrol on synagogue,"Amazon has refused to publish data about the energy consumption and carbon emissions of its business in Australia, including vast server farms, claiming its contribution to climate change is a trade secret.","Japanese collector returns ancient artifacts over 1,000 years old to Cambodia - “My husband has said before he passed away that those artifacts have to be returned back to Cambodia, and today I am happy that I did,” Takakuwa said.","Brazilian President Bolsonaro defends child labor, citing his own personal experience working at a farm.",Captain who rescued 42 migrants: I’d do it again despite jail threat,"Circus tigers turn on trainer, maul him to death despite frantic attempts to intervene - Italian police investigate after one of the country's most famous tamers was killed by four tigers",Protesters in Myanmar demand justice after 2-year-old raped,7.1 Earthquake hits Southern Calfornia,"Members of the team that dismembered the journalist Jamal Khashoggi are part of a group known as ""The Rapid Intervention Group"". Under the direct orders of Mohammed Bin Salman, they fly around the world to torture and break opponents of Saudi Arabia. They have been involved in a dozen operations","Babylon, the historic city in Iraq, named UNESCO world heritage site",Russian state media mocks Trump's July 4 military celebration: 'Putin's America',Tunisia bans the niqab in public institutions after twin bombings,Mass of stinking seaweed the size of Jamaica heading to Mexico's pristine beaches,"Jihadists massacre entire Christian village in Mali killing at least 100, many burnt to death",Canadian who helped design Ebola vaccine says there isn't enough to stop current outbreak in Congo,Man ordered to pay $172K for disrupting flight from Honolulu,"New study says we have too many fossil-fuel power plants to meet climate goals | Power plants, factories, vehicles, and buildings we've already built will, if operated normally over their full lifetimes, almost certainly warm the Earth more than the Paris Agreement climate target",Libya accuses Russian of meddling in African elections after two arrested from alleged troll farm,Small shops still hand out 2 million plastic bags every day - Businesses with fewer than 250 employees exempt from levy which UK government estimates would cut by 80% the 3.6 billion bags handed out in small shops,US denies German-Iranian father visa for son’s funeral,Hong Kong protesters are KILLING themselves after leaving chilling last messages slamming Chinese oppression,"Mexico murder rate spirals out of control, hitting 94 killings a day","Cannabis oil can reduce seizures in kids, University of Sask. study suggests",Greta Thunberg and other climate activists have said it is a badge of honour that the head of the world’s most powerful oil cartel believes their campaign may be the “greatest threat” to the fossil fuel industry.
2019-07-07,"African leaders to launch landmark 55-nation trade zone: It took African countries four years to agree to a free-trade deal in March. The trade zone would unite 1.3 billion people, create a $3.4 trillion economic bloc and usher in a new era of development across the continent","48.4% of new cars sold in Norway this year are fully electric, surpassing the 31.2% seen for the full year 2018",Ukrainian special forces capture pro-Russian separatist commander suspected in Malaysia Airlines flight shootdown,Spain: prosecutors claim attack not rape as victim ‘did not fight back’ - Six men accused of sexual abuse of 14-year-old girl in abandoned factory in Manresa,"The extreme rightwing ideology that inspired the Christchurch mosque killer has been promoted so effectively by the far right that it has entered mainstream political discourse, new analysis reveals.","Trump White House 'uniquely dysfunctional', says UK's ambassador in Washington",British Government Stands Behind Ambassador Who Called Donald Trump 'Incompetent' and 'Insecure',"Climate crisis disasters are happening at the rate of one a week, though most draw little international attention and work is urgently needed to prepare developing countries for the profound impacts, the UN has warned.","Public would prefer to cancel Brexit or hold second referendum than Halloween no-deal, poll shows","Huge rise in Amazon destruction under Bolsonaro, figures show - monthly deforestation up 88.4% compared with a year ago | Brazil is home to 60% of the Amazon, which is the world’s largest tropical rainforest and is seen as vital to the global fight against climate change","""You Will Not Decide What One Wants To Watch, You Are A Certification Board Not Censor Board""- Mumbai High Court to Indian Film Certification Board","Seven-Eleven Japan to wrap its billions of rice balls in bioplastic: 'By replacing part of the wrapping with a sugar cane-derived material, it can reduce the use of plastic by 260 tons and cut CO2 emissions by 403 tons a year.'",‘Smoking gun’: Huawei staff employment records link them to Chinese military agencies,Tiny Jag pulls out of AfroFuture Fest after learning white people would be charged a different price to attend,"Democracies are on track to lose their global economic dominance as 'authoritarian capitalism' rises: Within five years at current trends autocratic countries will account for more than half of global income for the first time in more than a century, according to a recent study","Former chiropractor ordered to pay $100K, showed 'no remorse' for anti-vaccine posts","Hong Kong protesters aim to take message to mainland Chinese ""mostly young crowd gathered in the mid-afternoon ahead of a march through a high-end shopping area popular with Chinese tourists and ending at West Kowloon station.""","More than 230,000 take to the streets of Kowloon for the first time against Hong Kong’s extradition bill, organiser says","Russian servicemen 'averted planetary catastrophe' during nuclear submarine accident, military official claims at funeral - Kremlin refuses to reveal mission of vessel, citing state secrets","In Charm Offensive, Trump's Middle East peace envoy and son-in-law Jared Kushner Calls Palestinians “Hysterical and Stupid”","Cannabis companies should be 'named and shamed' if they refuse to subject their products to clinical tests, UK MPs say - 'Big Green runs the risk of tarring itself with exactly the same reputation as Big Pharma, or worse'","We have too many fossil-fuel power plants to meet climate goals: 'To limit warming to 1.5°C., not only should no new fossil-fuel-using infrastructure be built, ever again, some existing power plants need to shut down early - and yet today many new power plants are under construction or planned.'","Up to 20,000 jobs could be axed at Deutsche Bank as the company is set to announce plans for a global restructuring. The majority of cuts are expected in the City of London and Wall Street.","An Emirati businessman aims to tow a 2km wide iceberg from Antarctica to the Arabian gulf in order to bring a source of clean drinking water to the United Arab Emirates, which relies solely on desalination for drinking water as of now.","British government stands behind ambassador after he calls Donald Trump ""incompetent"" and ""insecure"""
2019-07-08,"More than two thirds of UK millennials believe their generation will be 'worse off' than their parents’ - Almost two thirds (62 per cent) of the 1,030 16-24-year-olds polled by YouGov felt the Government cared more about older generations than their own.","The Russian collective Pussy Riot will perform in Alabama on Thursday, a sold-out concert to raise money for women's rights groups in light of the state's recent passage of a near-total ban on abortion","The man responsible for conducting Philippines President Rodrigo Duterte’s brutal war on drugs has defended the killing of a three-year-old girl during a drugs raid by saying “shit happens.""",Rodrigo Duterte's drug war is 'large-scale murdering enterprise' says Amnesty - New report details systematic killing of poor and calls for UN investigation into crimes against humanity,"Farmers sue Monsanto, Bayer over use of Roundup pesticide: Two Canadian farmers have filed a class-action suit in Nova Scotia Supreme Court against Monsanto and Bayer over the use of Roundup",Australia on track to become one of the 'world's worst' climate damagers,Wild animals in circuses to be banned in Wales under new law,14 Russians with fake passports denied entry to Mexico,"Canada's relaxed rules on foreign home ownership allowed $40 billion to be laundered through the country's real estate market last year, making housing unaffordable for citizens, investigation finds",Theresa May has 'full faith' in UK ambassador who criticised Trump,UN human rights chief 'appalled' at condition of migrant facilities in US,Security cameras and loudspeakers installed around Hong Kong's government headquarters following protests | Hong Kong Free Press HKFP,"Voters want neither Boris Johnson or Jeremy Hunt to be the next PM, poll shows","Report documenting how Japan used chemical weapons during Second Sino-Japanese War found for first time - Although the Imperial Japanese Army systematically destroyed all records of the war after its defeat, the discovered report may have been kept personally by a member of the army.",Nazi party (Golden Dawn) didn't make the 3% cut-off and is ousted from the Greek parliament.,Germany rejects Trump's call for ground troops in Syria,Diabetics charter bus for 815-mile round trip to Canada for affordable insulin,"At least 130 children among dead after Russian-led attacks in Syria, rights group claims","Video: Remove China from UN rights council, urges Hong Kong activist Denise Ho as diplomat interrupts twice | Hong Kong Free Press HKFP","Adding 1 billion hectares of forest could help check global warming: ""... this could remove two-thirds of the roughly 300 gigatons of carbon humans have added to the atmosphere since the 1800s.'",Trump says he will 'no longer deal with' UK's ambassador to US,"Dog owners should feed their pets before the postman arrives and lock them away for ten minutes after he leaves, the UK Royal Mail has said following a spate of attacks. Attacks have left some mail workers with “permanent and disabling injury” the report said.","Nearly 40% of Toronto condos not owner-occupied, new figures reveal - In Toronto, Canada’s most populous city, investor-owned properties are contributing to rising condo prices and a crunch on affordable rental housing.",Moscow thwarts downtown rally for teen girls who killed abusive father,"Trump keen to cover for Mohammed Bin Salman no matter what he does as executions double in Saudi Arabia, activists say: The first half of 2019 has been a bloody one in Saudi Arabia, with more than one prisoner executed each day on average."
2019-07-09,David Attenborough: polluting planet may become as reviled as slavery,Apple cofounder Steve Wozniak says most people should 'figure out a way to get off Facebook',Poland to eliminate income tax for all workers under 26,"One-Fifth Of All Dutch Churches Are Now Secular Buildings: Churches in the Netherlands have been converted into community centers, museums, apartment buildings and even gyms.",Paris declares 'climate emergency','Let's Bomb Everything': Philippines President Duterte Urges U.S. To Declare War on China,"Despite Death Threats, Glenn Greenwald Speaks Out About Exposing Large Corruption Scandal in Brazil",I Am VICE News Correspondent Isobel Yeung And I Went Undercover In Western China To Report On China’s Oppression Of The Muslim Uighurs. AMA.,Hong Kong leader says extradition bill is dead after mass protests,U.S. State Department approves possible $2.2 billion arms sale to Taiwan,"HPV vaccine for boys 'will prevent thousands of cancers' | Health officials say the HPV vaccine for 12 to 13-year-old boys, starting after the summer, will prevent 29,000 cancers in UK men in the next 40 years","Unhappy with HBO’s ‘Chernobyl,’ Russia is planning its own series — blaming the CIA. The Russian Culture Ministry has contributed $463,000 of funds to the show.",Lions and tigers suffer painful deformities in industrial breeding schemes for traditional Chinese ‘medicine’ - ‘These big cats are exploited for greed and money – for medicine that’s never been proven to have any curative properties whatsoever’,Jeremy Hunt says Trump is 'disrespectful and wrong' and vows to keep Darroch as US ambassador if he becomes PM,"Israeli education minister calls intermarriage rate of U.S. Jews ""second Holocaust”",Secret meetings between Trump officials and Iran's Islamic Revolutionary Guard Corps (IRGC) - report,"Iranian metal duo ""Confess"" entenced To 14+ Years in Iranian Prison & 74 Lashes For Playing Heavy Metal; Flea To Norway","Indonesia sends rubbish back to Australia and says it's too contaminated to recycle - Indonesian officials say containers of paper contaminated by electronic waste, used cans and plastic bottles","Recreational marijuana legalization tied to decline in teens using pot, study says",The UK is investigating whether Russian spies hacked secret memos branding Trump 'uniquely dysfunctional' and 'incompetent',Private rented housing unaffordable for working families in two-thirds of England,Abu Dhabi throws the switch on world's largest single-site solar project,"HPV jab for boys raises hope of eradicating cervical cancer: More than 100,000 cases of cancer will be prevented under plans to give boys the HPV jab as well as girls, UK health officials have said.","France announces tax on air travel, in climate push",China interrupts Hong Kong pop Denise Ho star during UN speech
2019-07-10,David Attenborough has highlighted Australia as an “extraordinary” example of a country where people in power remained climate change deniers despite the country facing some of the worst effects of global heating.,US Customs just seized a ship owned by JPMorgan after authorities found $1 billion worth of drugs on it,"In first year in power in Ontario, conservatives cut 227 clean energy funding projects, 758 renewable energy contracts, and cap-and-trade program that would have made the province $3 billion, skipping public consultation process",Some of Putin’s Top Cops Are Mobsters. Even KGB Vets Are Ashamed: A recent spate of arrests shows elite FSB units and senior officers shaking down businesses for huge bribes and even robbing banks.,'Completely Terrifying': Study Warns Carbon-Saturated Oceans Headed Toward Tipping Point That Could Unleash Mass Extinction Event,"The area where a Russian nuclear sub sank in 1989 is now registering radiation levels 100k times higher than normal, according to Norway",Boris Johnson called a 'Donald Trump patsy' after throwing the UK's ambassador to US 'under a bus',Justice Department trying to quash Mueller team testimony: report,"Scientists reawaken 40,000 year old ancient worms frozen under Arctic Ice | The nematode worms were found buried in the Siberian permafrost and are the most complex creatures to have ever been revived after a lengthy deep freeze","The Explosive Secret Recording That Shows How Russia Tried To Funnel Millions To The “European Trump:"" A close aide to Italy's deputy prime minister Matteo Salvini held covert talks to pump Russian oil money to his far-right party.",Donald Trump Called Climate Change a Hoax. Now He's Awkwardly Boasting About Fighting It,The gang rape of an 18-year-old woman in Germany has sparked a dispute about lowering the age of criminal responsibility: Two of the suspects in the western city of Mülheim are aged 12 and the other three are 14. Germany does not prosecute children under 14.,Sir Kim Darroch resigns as UK ambassador to US,A female baby Southern Resident Killer Whale has been born. This is good news since only 76 such whales are left,"17,000 Chilean Workers Striking Over Walmart Wages",Wife of Chinese billionaire parliamentarian Zheng Jianjiang sues Vancouver over vacant-home tax bill on US$20 million property,Saudis vexed at low ranking on press freedom index after Khashoggi murder,Iranian Metal band sentenced to 14 years in prison and 74 lashes for being a metal band in Iran...,"China's social credit 'citizen rating' system ""will not be implemented in Hong Kong"", minister says",‘Sad irony’: Rouhani mocks US for calling emergency meeting on Iran nuclear deal...which it left,UK PM May says she regrets resignation of ambassador to United States,The Air Really Was Cleaner Under Obama. | Pollution is up nearly 14 percent under the Trump administration.,An Explosive Secret Recording Reveals How Russia Tried To Funnel Millions To The “European Trump”. A close aide to Italy's deputy prime minister Matteo Salvini held covert talks to pump Russian oil money to his far-right party. BuzzFeed News has the tape.,Quarter of world's biggest firms 'fail to disclose emissions',"A turquoise lake in Siberia where people have been taking selfies is actually a power plant's ash dump. The lake, nicknamed the ""Novosibirsk Maldives"" because of how tropical it looks, has provided the perfect backdrop to people's Instagram posts."
2019-07-11,"Endangered rhino numbers ‘soar by 1,000%’ in Tanzania after crackdown on poaching gangs - And elephant populations have risen by nearly half in five years, thanks to a blitz on illegal ivory hunters, the president’s office said.",Google admits workers listen to private audio recordings from Google Home Smart Speakers.,"Saudi Arabia is reportedly axing laws which give men legal control over whether women can leave the country, after a global backlash to the government's Absher app",Deutsche Bank is being slammed for paying $52 million 'golden parachutes' to fired execs — right after managers got lavish suits made while thousands got the axe | Markets Insider,"Foreign ambassadors working in Washington have revealed they share similar views to British envoy Sir Kim Darroch, who described Trump’s administration as “inept” and “dysfunctional” in leaked diplomatic cables.",Video of Boris saying Trump 'unfit' to be president beamed on Big Ben,"E.ON announced Tuesday that it had transitioned all of its residential customers in Britain to 100% renewable electricity at no extra cost, a move which now provides more than 3.3 million British households with 100% renewable electricity",Deutsche Bank's week from hell just got worse after reported links with Epstein and a US probe into its role in the Malaysia 1MDB scandal,"There’s An Environmental Disaster Unfolding In The Gulf of Mexico: A slow-moving flood of polluted Mississippi River water is causing serious damage to Gulf species, and a major storm threatens to make it worse.",Former ambassador to US says Boris Johnson is a 'paid-up member of the Trump fan club' who risks doing 'great harm' to UK,Iranian boats attempted to seize British tanker,Falcon has landed: Japan's Hayabusa2 probe touches down on asteroid,Kenya's first coal plant construction paused in climate victory,"Soviet nuclear submarine emitting radiation ‘100,000 times normal level’ into sea, scientists find",Majority of US vets say Afghanistan war 'not worth fighting',"France approves digital tax on American tech giants, defying US trade threat","Indian Railways has launched ‘Plan Bee’ to prevent elephants getting hurt on rail tracks - Bee sounds can be heard from 600 metres away, as the train approaches the vulnerable gangway, thereby reducing the elephant death toll.","Duterte claims he faces a coup ""because tempers are rising in the military,"" threatens to declare martial law",UK braves US ire by pressing ahead with tax on tech companies. Move comes hours after Washington threatened sanctions against France for similar levy,"Sunken Soviet nuclear submarine emitting radiation '100,000 times normal level' into sea, scientists find",Study found that the amount of foreign debt held by China is around 50% higher than is documented by official statistics,"More than 15,000 ancient artefacts were looted from Iraq's national museum in 2003. Only half have been recovered. This team hunts for looted antiquities around the world and tries to bring them back.","Antarctica's ice is degrading faster than we thought, and there may be no way to stop the consequences",Psychedelic mental health treatment expected to be approved in Australia within five years,Japan's Hayabusa-2 spacecraft fires 2nd bullet into asteroid Ryugu before swooping down to successfully collect the debris. Obtaining a 2nd sample means the mission has accomplished all its major goals (despite Ryugu being more jagged and rocky than anticipated) and can now head back to Earth.
