,Date,Top1,Top2,Top3,Top4,Top5,Top6,Top7,Top8,Top9,Top10,Top11,Top12,Top13,Top14,Top15,Top16,Top17,Top18,Top19,Top20,Top21,Top22,Top23,Top24,Top25
146,2020-05-26,Costa Rica becomes first Central American country to legalize same-sex marriage,Greta Thunberg Mocks Alberta Minister Who Said COVID-19 Is a ‘Great Time’ For Pipelines: Alberta's energy minister Sonya Savage said bans on public gatherings will allow pipeline construction to occur without protests.,Alberta minister says it’s a ‘great time’ to build a pipeline because COVID-19 restrictions limit protests against them,Boris Johnson's approval rating drops more than 20 points in four days amidst Dominic Cummings saga,Canada wants national sick leave plan in place for second wave of the coronavirus pandemic,Experts Warn Climate Change Is Already Killing Way More People Than We Record,'Billions of years of evolutionary history' under threat: Scientists say more than 50 billion years of cumulative evolutionary history could be lost as humans push wildlife to the brink.,Rio Tinto blasts 46000 year old Aboriginal site to expand iron ore mine,Dutch PM Mark Rutte did not visit dying mother due to Covid-19 restrictions: Office of the PM says Rutte ‘complied with all directives’ and did not see his mother in the weeks before her death,"Help us protect the headwaters of the Amazon from oil companies, elders say","Khashoggi sons' pardon of his killers is 'final act of the parody of justice,' UN expert says",Mass Testing in Wuhan Uncovers Over 200 Asymptomatic Covid-19 Cases,Taiwan ‘isn’t giving up on Hong Kong’ as Tsai mulls special status,China loses bid to run Israel's biggest desalination plant after U.S. pressure,French alarm at Covid-linked Med pollution: Video shot by a French environmental NGO in the Mediterranean Sea shows masks and gloves littering the seabed.,Brazil surpasses U.S. in daily coronavirus death toll,'Rights and freedoms are not absolute': Hong Kong leader warns protesters,‘Prepare for war’: China’s Xi Jinping tells army to thwart coronavirus impact on national security - world news,"A city in China wants to use its coronavirus app to track how much its citizens exercise, sleep, drink, and smoke. The data would be used to permit or deny entry to public buildings, and control the use of public transport.",​Improved personal hygiene prompted by COVID-19 lowers number of common cold patients,Full list of U.K. MPs who voted to lower food standards during the Covid pandemic,Remains of 60 Mammoths and the traps for hunting those mammoths found in site for future mexico city airport,"China expands its airbase near the Indian territory of Ladakh, Chinese fighter jets have landed on the tarmac","Amazon denies outbreaks at German warehouses: Two virus outbreaks have now been traced to Amazon warehouses in Germany. The company says it has introduced over one hundred new safety measures, which a major workers’ union says is still too little, too late",A provincial leader outside Moscow was heard telling his subordinates to alter his region’s coronavirus data in an audio recording leaked Monday that he later confirmed to be authentic
147,2020-05-27,New Zealand has no Covid-19 patients in hospital and only 21 active cases remain,"YouTube Has Been Deleting Comments Critical Of Chinese Communist Party For 6 Months, Calls It An ‘Error’ After Outrage","Military alleges horrific conditions, abuse in pandemic-hit Ontario (Canada) nursing homes",Hong Kong police fire pepperballs at protesters and arrest 180 people for unauthorised assembly,"China Says the UK Will ""Pay Price"" if Huawei is Booted Out of 5G Builds","Extradition proceedings against Huawei executive (founder's daughter) Meng Wanzhou, held by Canada, should proceed, B.C. judge rules",Chinese State Media quotes Hong Kong Police condemning demonstration before it occurs,Japan Ends Coronavirus Emergency With 850 Deaths and No Lockdown,"WHO warns against the harmful marketing of breast milk substitutes: ""It is not safer to give infant formula milk.”",Twitter labels Trump tweets with a fact check for the first time.,Taiwan president pledges humanitarian relief for Hong Kongers,Israeli soldiers shoot holes in Palestinians water tanks,Hong Kong police arrest 300 as thousands protest over security laws,"'All-out combat' feared as India, China engage in border standoff",Companies must pay share of rent for employees working from home. This is the first time Switzerland’s highest court has dealt with the topic of rent allowances for employees working from home.,China removes phrase ‘peaceful reunification’ from Taiwan document.,Man arrested over deadly arson at Japanese animation studio that killed 36,13 human traffickers arrested in Brussels who were responsible for the death of 39 Vietnamese in Essex last year,Four officers fired following death of unarmed black man who had neck knelt on during arrest,"Hundreds of riot police took up posts around Hong Kong's legislature overnight, as protests were expected on Wednesday over a bill criminalizing disrespect of China's national anthem and against plans by Beijing to impose national security laws",Xi Jinping urges China's army to prepare for armed combat as Hong Kong protests restart over a new bill that would strip away the city's freedoms,"The Indian capital, Delhi, saw temperatures rise to 47.6C on Tuesday, as most of north India faced severe heatwave conditions.",YouTube says that an error caused comments critical of China’s government to auto-delete – TechCrunch,Taxpayers paid to develop remdesivir but will have no say when Gilead sets price,"A Palestinian family was farming wheat, then Israeli soldiers arrived and they were shot"
148,2020-05-28,"If U.S. President Donald Trump goes ahead with his threat to close Twitter, the site can always relocate to Germany, a senior German official suggests",China's parliament has approved a new security law for Hong Kong which would make it a crime to undermine Beijing's authority in the territory.,"Rio Tinto legally destroy Native Australian Aboriginal historical site with artifacts dating back 46,000 years.",The UK now has the highest coronavirus death rate in the world,"Thousands of Dutch Covid-19 patients likely have permanent lung damage, doctor says",Anti-porn filters stop Dominic Cummings trending on Twitter,"Lawyers for a student activist have lodged a formal complaint demanding the University of Queensland dismiss the Chinese consul-general in Brisbane from an adjunct professor position, over comments “praising violence” against peaceful campus protesters.",Outcry in Iran over honour killing of 14 year old girl,The NSA has a warning: Russia's most infamous hackers are still active,Riot police deployed across Hong Kong as U.S.-China tensions rise,Boris Johnson gags medical experts to stop them discussing Dominic Cummings row,'The most heart-wrenching report I have ever read': Nurses neglected soiled residents and reused IV equipment in Canadian nursing homes,Oldest 'nearly complete' HIV genome found in forgotten tissue sample from 1966,"The US government is funding a website in Armenia which is spreading disinformation about the coronavirus pandemic, including warnings that Armenians ought to “refuse” future vaccine programmes",UK will increase visa rights if China pursues Hong Kong security law: BBC,"Sydney braces for rat ‘plague’ after Covid-19 forces hungry rodents to turn to cannibalism: Empty offices and restaurants in the city of Sydney are driving hungry rats into homes and suburbs, and the loosening of restrictions could create “a new rat plague”, according to a leading rat-catcher.","We want money not medals, say protesting French health workers","Taiwanese Researches have discovered Naturally Occurring Antibodies found to inhibit COVID-19. Up to 98 Percent inhibition and neutralization effect on the Wuhan, American, European, and Egyptian strains of COVID-19. The monoclonal antibody could be commercially available by the end of the year.","Dominic Cummings did breach Coronavirus guidelines, Durham Police say",Chinese students in Seoul indicted for defacing pro-Hong Kong posters,"China's rich skirting Hong Kong to seek asset safety elsewhere.More than half of Hong Kong’s estimated private wealth of over $1 trillion is from mainland individuals who have parked money there, according to bankers.",Twitter Applies Trump Fact-check Standard to Chinese Official Who Blamed Pandemic on U.S. Military,Hongkongers with BN(O) passports can get British citizenship after Beijing imposes national security law,"Not safe to reopen all schools next week and government ignoring scientific advice, Independent Sage warns","74 Percent of Britons Think China Covered up Initial Coronavirus Outbreak, Poll Shows"
149,2020-05-29,Trump says the U.S. will cut ties with World Health Organization,Spain approves national minimum income,New Zealand is down to just one active coronavirus case,"UK wants 5G alliance of 10 countries, including India, to avoid reliance on Chinese Huawei",More than two dozen North Korean bankers charged in $2.5 billion money-laundering scheme,New milestone: the world’s largest all-electric plane just had its first successful flight and it's a huge step towards reducing carbon emissions,"These women say they had miscarriages. Now they're in jail for abortion. ""Seven months pregnant, Manuela... said she miscarried ... in rural El Salvador. But the police, and a judge, didn't believe her. They charged and convicted her for aggravated homicide, sentencing her to 30 years in prison.""",Hong Kong protests: nearly 100 children among 396 arrested over national anthem and security law demonstrations,"Spain reports first suspected imported coronavirus cases since March, in travellers from U.S",One of Turkmenistan’s top actors has cruelly been jailed for two years for the simple crime of being gay,EU says Hong Kong decision damages trust with China,"Family of Harry Dunn to bring private prosecution against Dominic Raab - Foreign secretary did not have the authority to allow driver of the car that killed the 19-year-old to return to US, relatives say",Just one active case of covid 19 remaining in NZ as the country marks one full week of zero new cases,"Russia deploys 'disguised' fighter jets in Libya, gets caught",Coronavirus updates: WHO warns virus has 'not gone away',"Twitter says Trump violated rules against glorifying violence, places public notice on post",Taiwan grand justices rule adultery no longer a crime,World’s biggest lockdown to push 12 million into extreme poverty,North Korea Executes Couple For Trying to Escape to South During COVID-19 Emergency,The UK government is paying the Sun and Daily Mail for positive coverage of its coronavirus response,Spain set to introduce permanent basic income scheme to rebuild economy post-coronavirus,"India doubles down on rejection of Trump’s offer to mediate on standoff with China: “There has been no recent contact between Prime Minister Modi and President Trump. """,Monkeys 'escape with COVID-19 samples' after attacking lab assistant,Petition calling for UK PM's aide to be sacked passes one million signatures,"Mexico's other epidemic: Murdered women - ""Last spring there were about 300 femicides a month"""
150,2020-05-30,SpaceX shoots Nasa astronauts into space in historic mission,Trudeau: Canadians watching US unrest and police violence in ‘shock and horror’,"China's Global Times trolls US, says: 'US should stand with Minnesota violent protesters as it did with HK rioters",Trump reportedly 'furious' that Germany's Angela Merkel turned down his G7 Summit invitation over coronavirus concerns,China threatens UK with 'countermeasures' if it eases passport rules for Hong Kong,Belgium Prince tests positive for the Coronavirus after attending a lockdown party,Chinese state media says US demonstrations are ‘beautiful’ as it hits back at American support for Hong Kong protests,Malta seizes $1.1 billion worth of counterfeit Libyan currency printed in Russia,Coronavirus: South Korea closes schools again after biggest spike in weeks,Israeli officers shoot dead unarmed Palestinian in Jerusalem’s Old City,"A Mile-Long Line for Free Food in Geneva, One of World’s Richest Cities",Britain seeking alliance of 10 democracies to break China’s 5G monopoly in wake of coronavirus pandemic,"China says it blocked US, UK move for formal discussion of Hong Kong national security law at UN",Taiwan offers 'proactive rescue' to Hongkongers,Germany to reintroduce military rabbis for the first time since 1930s,"One in 10 Covid-19 patients with diabetes die within a week, study finds","Michael Flynn transcripts released, calls with Russian diplomat detailed",Passengers onboard the coronavirus-afflicted Ruby Princess have been issued another health warning after a crew member was diagnosed with tuberculosis this week,Trump decides to terminate relations with WHO..claiming WHO to be China's puppet,White House goes on lockdown after protest erupts nearby,US government is funding website spreading Covid-19 disinformation,"India's farmers told to scare locusts away by beating drums, using loudspeakers. Farmers are being asked to make as much of a racket as possible, using drums, tin containers, utensils and even hiring mobile disc jockeys, in an attempt to scare away locust swarms that are attacking India.","Bionic Eye, As Sensitive as The Human Retina, May Give Sight to Millions",Belgian prince tests positive for coronavirus after attending gathering in Spain,Saudi Shura Council rejects proposal to let women marry without a male guardian's permission
151,2020-05-31,Amnesty International: U.S. police must end militarized response to protests,"Mining firm ""sorry"" for going through with destruction of 46.000 years old Aboriginal caves",Polish priests defy bishop amid pedophilia scandal | Priests in the Polish diocese of Kalisz refused to sign letters of loyalty to their bishop after a child abuse cover-up. More and more Catholics in Poland are calling on the Church to properly investigate such crimes.,Demonstrators rally in Europe in solidarity with US protesters,"People more important than the economy, pope says about Covid crisis",'Weak and wrong': UK government's silence over Trump's response in US condemned by Labour,"Hundreds of Captive Elephants are Freed for 'The Biggest Migration In Thailand's History'. When the COVID-19 pandemic brought collapse to tourism all across Thailand, funding ceased and keepers no longer had the resources to maintain the welfare of their elephants.",Journalist made blind by US police shooting rubber bullets at her face,"Britain will not 'look away' from Hong Kong responsibilities, says Raab","Hundreds of protesters rally in London, Berlin over U.S. death",Dominic Cummings actually stayed in a second home that had no planning permission and does not pay council tax.,Brazil minister advises using COVID-19 to distract from Amazon deregulation,"Brazil's coronavirus outbreak worsens as total cases near 500,000",Hundreds protest alleged Tokyo police violence against Kurdish man,"1.200 people holding a peacefull “Black lives matter” demo in front US embassy in Copenhagen, Denmark.","posting here for awareness, fuck the rules. Oowee don't expect room and board at my house when they're lynching you, my ex-comrades",Iran Leaders Criticize U.S. 'Racism': Black Americans 'Not Sure They'll Be Alive in A Few Minutes',‘Never seen that before’: Some Hong Kong residents hit the panic button as security law revives rush for the emigration gates,Obama called ‘slave’ by Qatar’s ex Emir Hamad bin Khalifa in leaked Gaddafi recording.,81-year-old Sikh man feeds 2 million on remote Maharashtra highway,Animals suffered in UK laboratories as experimenters broke rules in cases of ‘neglect and incompetence’- many animals were deprived of food or water while others accidentally killed in hot-steam machines,"Borussia Dortmund's England winger Jadon Sancho scored a hat-trick and revealed a ""Justice for George Floyd"" T-shirt Sunday amid several protests in the German Bundesliga at the death of an unarmed black man in the United States",Canadian Humanitarian Sentenced to 9 Years for Raping 2 Nepali Boys,NASA Wants to Go Nuclear on the Moon and Mars for Astronaut Settlement,SpaceX Nasa Mission: Astronaut capsule docks with space station
152,2020-06-01,"UK government urged to suspend export of tear gas, rubber bullets and riot shields to US. British law requires exports to be suspended if they are used for internal repression",China says US ‘addicted to quitting’ after Trump pulls out of WHO,British photographer arrested at US protest in 'affront to press freedom',Black Lives Matter marches: Thousands at Kiwi protests stand up against racism.,China says it will use military force to take control of Taiwan if diplomacy fails,"Sixth mass extinction of wildlife accelerating, scientists warn","Hong Kong police ban annual Tiananmen vigil for first time in 30 years, citing Covid-19 measures | Hong Kong Free Press HKFP",Putin’s Trust Rating Drops Further as More Russians Willing to Protest — Poll,"China orders state traders to stop buying American farm goods, threatening phase one trade deal",Hospitals told to prepare for July 4 pub frenzy ‘like it’s New Year’s Eve’,"Pompeo says U.S. considering welcoming Hong Kong people, entrepreneurs","Thousands of Species Are Fleeing to Earth's Poles en Masse, And a Pattern's Emerging. Today, as temperature increases squeeze animals into ever-narrowing habitat ranges, those animals already swimming towards he poles are also at risk of running out of cooler water.",Nation's Cops Seem Determined To Demonstrate Why People Are Protesting Them in the First Place,Japan to further exclude Chinese telecom gear,Four dead after new Ebola outbreak in Congo,Mexican president says most domestic violence calls are 'fake' despite lockdown rise in femicide,Putin says vote on changes to allow him to extend his rule will take place on July 1,"Israeli soldiers filmed slashing tires, throwing tear gas at Palestinian home",Looking at your phone while walking will be illegal under new laws being considered in Japan,"Hundreds of Nissan workers blocked roads and burned tires to protest the Japanese automaker’s decision to shut down its Barcelona plant in December. The move, which had been widely anticipated but was officially announced on Thursday, means that 3,000 direct jobs will be lost","New Zealand sees plastic bags cut by a billion, one year on from ban of single-use plastic bags","The EU fears that the UK government is deliberately stalling on Brexit trade deal negotiations, and may secretly be aiming to exit European trade arrangements without first agreeing a new deal.","Trump slams governors as 'weak', urges crackdown on protests","The world’s forests have become shorter and younger in the past 50 years, according to a study published in Science. This means that forests have less capacity to remove carbon from the atmosphere and are less hospitable to the many species that rely on them for shelter.",NASA Seeks People for Isolation Study to Prepare for Moon and Mars
153,2020-06-02,EU official calls Floyd's death an abuse of power,US protests: BBC cameraman attacked by police at demonstration outside White House - “Our brilliant cameraman Pete Murtaugh clearly targeted by the police/a policeman”,"Canada should re-examine U.S. relations, ‘pursue its own future’ in face of Trump’s pandemic response, say foreign policy and trade experts","Teacher says she shouted, ”he’s disabled!’ before Israeli cops gunned down Palestinian",Canadians watching U.S. in 'horror and consternation': PM Trudeau,Australian Prime Minister Scott Morrison calls for investigation after 7NEWS reporter and cameraman assaulted in US riots,"In 'Unhinged' Call, Trump Urges Governors to 'Use the Military' and Throw Demonstrators in Jail 'For 10 Years'",Journalists demand end to harassment after US police launch over 100 attacks on the press this past weekend,"NSW Police investigate officer filmed kicking, pinning down Indigenous teen during arrest","The EU insists that Russia must not be allowed back into the G7, joining a growing chorus of major economic powers, after Trump said that he plans to invite the country to the summit",'I can't be silent': Hong Kong people aim to mark Tiananmen despite ban,Russian Police Colonel Being Treated For COVID-19 Falls From Hospital Window,Brazil's former president calls for Bolsonaro to be impeached,Thousands of protesters rallied in the Dutch and Irish capitals on Monday against the death of a black man during an arrest by police in the United States,Chechen leader accused of mass torture and murder tells Trump to 'end the mayhem',German minister hopes 'legitimate' U.S. protests will have an impact,"Donald Trump says 'I am your law and order president,' orders 'heavily-armed soldiers' to D.C. and threatens to deploy military nationwide - then has protesters tear-gassed outside White House so he can walk to a fire-damaged church and brandish a Bible",Hong Kong’s Leader Decries U.S. ‘Double Standards’ Over Protests,Coronavirus: Kenyan boy who made hand-washing machine awarded,"US vows to prevent 'corrupt' ICC from probing Americans, Israelis for war crimes",Chicago police scanners hacked by Anonymous to play N.W.A.’s ‘Fuck Tha Police’,"Canada's Prime Minister Justin Trudeau, when asked about U.S. President Donald Trump's possibly calling in the military to quell protests, paused for more than 20 seconds before answering that Canadians were watching in horror what was happening in the United States.",China Fires Back at Trump’s Hong Kong Threats by Suspending U.S. Farm Purchases,Coronavirus: Sex during lockdown with someone outside your household is illegal from today in the UK,"‘US is a habitual quitter’, says China, as the former has quit UNESCO, UN Human Rights Council, Paris Agreement, JCPOA [Joint Comprehensive Plan of Action], INF Treaty, Treaty on Open Skies, and its latest withdrawal from WHO"
154,2020-06-03,Boris Johnson says 3m people in Hong Kong will get path to British citizenship,The body of a missing Mexican congresswoman has been found in a shallow grave more than a month after she was abducted by armed men while raising awareness about the coronavirus pandemic,The Australian embassy in Washington DC has reached out to the US State Department after an Australian reporter and cameraman were beaten by police outside the White House while covering a peaceful protest.,Jane Goodall: humanity is finished if it fails to adapt after Covid-19. Primatologist calls for overhaul of food habits to prevent a future pandemic,"Trump's 'antifa' accusations spark debate in Germany, the movement's birthplace: After Donald Trump claimed most protesters in the US were ""antifa,"" Germany's Social Democrats rushed to declare solidarity with the movement",Large global study affirms face masks reduce COVID-19 infection risk by 85 percent,Solar costs have fallen 82% since 2010,Pope condemns US violence and prays for those suffering from ‘sin of racism’,Four-year-old Palestinian who was shot in the head dies of her wounds,Russia OKs Use of Nukes in Response to Non-Nuclear Attacks,"Black lives shattered: outrage as boy, 14, is Brazil police's latest victim","'Palestinian Lives Matter,' shout Israeli protesters over killing of Iyad Hallak","The UN rights chief decried ""structural racism"" in the United States, and voiced alarm at the ""unprecedented assault"" on journalists covering protests across the country after George Floyd's death in custody","halt UK riot gear sales to US police, says Labour","'They're guitars, not human lives': Montreal, Quebec store owner says getting looted was worth it to fight racism","Brazil's President Bolsonaro says ""I'm sorry but it's their destiny"" for those that died from COVID-19",Gambia demands probe after US police shoot dead diplomat's son,"Some 20,000 people defied a ban in Paris to protest the 2016 death of a young black man in French police custody, some clashing with police and using slogans like those used in the demonstrations raging in the US. The protesters rallied outside a Paris court despite a coronavirus ban",The architect of Sweden's no-lockdown plan suggested the strategy was a mistake based on what we now know about the coronavirus,"Mexico freezes almost 2,000 accounts linked to powerful cartel",K-Pop Fans Are Flooding Right-Wing Hashtags on Social Media,Putin endorses rule allowing him to carry out a 'first strike' using atomic weapons in response to non-nuclear attack on Russia,"Hong Kong court acquits student of riot charge, casts doubt on police testimony",Solidarity with U.S. protesters: People around the world march and speak out against racism,'The Germans are openly done with this president': European security officials are aghast at the way Trump is handling the Floyd protesters
155,2020-06-04,"North Korea, Iran scold U.S. for ‘double standard’ on crushing protests - National",Elizabeth May Wants Canada To Accept U.S. Asylum Seekers Now That Country ‘No Longer Safe’,"Inspired by U.S. protests, some Belgians want colonial king statues removed","Protests sparked in Argentina after s prosecutor frees perpetrators involved in gang-raping a 16 year old girl in Chebut Argentina from jail. The judge classified it as ""Sexual relief"".",Ukraine found no evidence against Hunter Biden in case audit: former top prosecutor,New Zealanders perform haka in front of US consulate for Black Lives Matter,Gambia calls for ‘credible’ investigation of U.S. police-shooting death of its citizen - US authorities refused a request to view body camera footage,Russia urges US to respect the right to protest,"Taiwanese president Tsai Ing-wen said that she hopes history can be remembered in every corner of the world on Thursday, the 31st anniversary of China's Tiananmen Square massacre on June 4, 1989",Beijing draws up plans to outlaw criticism of traditional Chinese medicine,Trudeau’s 21-Second Pause Becomes the Story in Canada,5G conspiracy theorists hide razors and needles as booby traps for telecoms engineers,Merkel sticking to decision not to run again as German chancellor,Facebook slaps warning labels on Chinese and Russian state-backed media,New Zealand tackles'period poverty' with free sanitary products for all schoolgirls,"Police stormed a dozen sawmills in Brazil’s Amazon rainforest in a dawn raid on Tuesday, arresting about 30 people accused of involvement in an illegal logging ring.",Hong Kong police fire pepper spray to disperse Tiananmen protesters,"Germany forces all petrol stations to provide electric car charging, penalises ownership of large polluting combustion-engined SUVs.","On Tiananmen Anniversary, Hong Kong Makes Mocking China’s Anthem a Crime",Pakistan's loneliest elephant Kaavan freed after 4-year campaign led by pop icon Cher,"As Trump Threatens to Send Military Into Cities, Some GIs Refuse to Comply",Greek demonstrators hurl firebombs towards U.S. embassy in Athens,US embassy official refuses to undergo PCR testing at Sri Lankan airport by using diplomatic privileges,'Get off the grass': Homeowner interrupts Australian PM Scott Morrison's housing announcement,South Korea to offer $18.5 million in humanitarian aid to Yemen to help combat food shortages and the coronavirus pandemic
156,2020-06-05,Rubber bullets shot at Swiss journalists by US police,Shock as 81-y-o inmate dies after 40 years in prison without trial,166 MPs from all parties call for UK to stop tear gas and rubber bullet exports to US. Separate petition calling for suspension of exports nears half a million signatures,Canada PM Trudeau joins anti-racism march in Ottawa,Police union will not ID officer in Australian TV crew attack,Divorces rise by 30% in Saudi Arabia after quarantine uncovers polygamous husbands,Man wearing BLM shirt to church gets assaulted by Churchgoer in New Zealand.,Billionaires got $565 billion richer during the coronavirus pandemic,New Zealand minister says yes - Trump is racist amid Floyd protests,14 boys rescued from 'most horrific' child-exploitation ring uncovered in Australia,"Mining giant Rio Tinto was alerted six years ago that at least one of the caves it blasted in Western Australia's Pilbara region last month was of ""the highest archaeological significance in Australia""",Boris Johnson facing backlash after scrapping pledge to keep chlorinated chicken out of British supermarkets,"French police fired tear gas to disperse around 2,000 demonstrators protesting against racism and police brutality in the northern city of Lille. ""No justice, no peace,"" the crowd chanted, echoing the protests which have taken place across the United States","Brazil eases lockdown despite record deaths, its president says death is 'everyone's destiny'",Scotland First Minister: 'Hard to not conclude' Trump is a racist,"Germany: Thousands attend anti-racism protests honoring George Floyd. Hamburg police have dispersed the 4500 Black Lives Matter protesters, citing a violation of coronavirus restrictions. Germany held the largest demonstrations over the death of George Floyd outside the US on Friday",'They died in the same way': Floyd's death puts spotlight on similar cases across globe,"Clashes broke out as Mexicans protested police brutality in Guadalajara, calling for authorities to be held accountable for the death of a local man in custody allegedly arrested over not wearing a face mask in public",‘Collapse of civilisation is the most likely outcome’: top climate scientists,Namibia on verge of achieving total HIV/AIDS control,Russia urges the U.S. to ‘observe democratic standards’ and respect Americans’ right to protest,Coronavirus is an ‘SOS signal for the human enterprise’: UN environment chief and economist warn human wealth depends on nature’s health,Marriott says Trump administration orders it to cease Cuba hotel business,Former Australian Prime Minister Kevin Rudd accuses the University of Queensland of appearing to 'bend the knee to Beijing',UK halts trial of hydroxychloroquine as 'useless' for COVID-19 patients
157,2020-06-06,German Neo Nazis Are Getting Explosives Training at a White Supremacist Camp in Russia,'Stand up to Trump!' Canadian protesters shout to Trudeau during anti-racism rally,Boris Johnson facing backlash after scrapping pledge to keep chlorinated chicken out of British supermarkets,Nigerians take to streets to protest against sexual violence,Bill Gates said it's hard to deny vaccine conspiracy theories involving him because they're 'so stupid',Ethiopia wants to plant 5 billion seedlings this year. It's part of a larger goal to plant 20 billion trees.,B.C. opens Sunshine Coast forest — home to some of Canada’s oldest trees — to logging,Indigenous chief says Canadian police beat him up and manhandled his wife over expired licence plate,"Teargas and pepper spray will accelerate spread of Covid-19, doctors warn",More schools abandon plans to reopen next week as rising UK infection rates spark fears of second coronavirus wave - follow live,Black Lives Matter rallies start in Australia amid court ban,"Anti-racism protests roll into Asia ⁠— Crowds gather in Australian cities, Tokyo and Seoul, online vigil planned in Bangkok",Merkel allies criticize Trump decision to cut U.S. troops in Germany,K-pop fans join forces to drown out opposition to #BlackLivesMatter,"Warren, Pressley introduce bill to make it a crime for police officers to deny medical care to people in custody",Retired China soccer star calls for ouster of Communist Party,Atmospheric C02 Hits New Record High at 417ppm Despite Reductions in Emissions During the COVID-19 Pandemic,Bolsonaro threatens WHO exit as COVID-19 kills 'a Brazilian per minute',Retired Chinese soccer star urges public to overthrow CCP,"The U.S. Embassy in Mexico City has locked down amid violent protests over the death of George Floyd. Mexican media outlets described protesters as vandalizing the embassy, which sits on one of the city’s main thoroughfares near a monument to Mexican independence.","Amid China tensions, Australia signs comprehensive strategic partnership with India","OSU graduate, 22, dies after attending protests in Columbus",Mexican police murder a person under custody after being hand cuffed; Cop was stepping on his neck.,China warns the UK of 'substantial damage' to its economy if refuses to back down on Hong Kong,Thousands Who Got COVID-19 in March Are Still Sick
158,2020-06-07,Indigenous chief says Canadian police beat him over expired licence plate,An unsettling video that shows police officers in Quebec yanking a Black man out of a vehicle by his hair and then striking him on the head has gone viral. It’s yet another concerning instance of recent police use of force in Canada.,A group of 66 United Nations human rights monitors have issued a devastating critique of what they call modern-day “racial terror” lynchings in the US in the form of state-sponsored police violence against black Americans.,South Korean boyband BTS donates $1 million to Black Lives Matter,"Mining firm ‘knew significance’ of 46,000-year-old Aboriginal caves before blowing site up",Police Killed a Young Indigenous Woman In New Brunswick During Wellness Check: Family - VICE,UK could class loot boxes as gambling to protect children,‘The anger is still there’: Hong Kong defiant a year on from first protests,Egyptian father to stand trial on charges of forced FGM of three daughters: Girls were allegedly told they were to have Covid-19 vaccinations but were cut by doctor after being sedated. The procedure was banned in 2008 and criminalised in 2016.,"Brazil takes down COVID-19 data, hiding soaring death toll",Winston Churchill statue daubed with 'was a racist' graffiti during Black Lives Matter protests,Britain ‘absent from world stage’ by failing to condemn abuses by Trump and China,Man charged after attending Toronto anti-Black racism protest in blackface,Come To Ghana If You’re Not Wanted In USA – Tourism Minister To African Americans,Scotland and Northern Ireland report no new coronavirus deaths for first time since lockdown began,Covid-19 relief for fossil fuel industries risks green recovery plans: Over $500bn is going to high-carbon industries undermining goals of Cop26 climate talks,"Global coronavirus death toll passes 400,000","'No One Is Free When Others Are Oppressed': Thousands in Spain, UK Rally at US Embassies in Solidarity With America's Anti-Racist Uprising",New evidence of China's coronavirus cover-up: Scientists Knew it was lethal and 'clearly contagious' before officials told the world about 'mystery' outbreak,More Israelis oppose West Bank annexation than support it -- survey,Police officer set on fire at protest over man ‘beaten to death for having no mask’,'Regrettable': Germany reacts to Trump plan to withdraw US troops,Brazil govt tweaks virus death toll: Brazil’s government has stopped publishing a running total of coronavirus deaths and infections in an extraordinary move that critics call an attempt to hide the true toll of the disease in Latin America’s largest nation.,Protests roll on against 'worldwide' racism,"More German teams kneel before games, Wolfsburg beats Werder"
159,2020-06-08,No active cases and no new cases of Covid-19 in New Zealand,"24 hours after K-pop group BTS announces $1M dollar donation, their fandom matches $1M Donation to Black Lives Matter",Bollywood Actors Called Out For Supporting Black Lives Matter Movement While Promoting Skin Lightening Products,Three years in prison for man who set fire to phone mast after researching 5G coronavirus theories,US Department of Justice (DOJ) has officially demanded that the Duke of York be available for questioning,Neo-Nazi 'diehards' face jail for being part of banned far-right group,"Decrying 'Unacceptable' Brutality, UK Lawmakers Join Half a Million Britons in Calling to Halt Tear Gas, Rubber Bullets Exports to US",Rights groups urge U.N. to investigate U.S. 'police violence',Tory politician readmitted to the party after claims holocaust was ‘fabricated’,‘No brainer’: Harry Dunn’s father reiterates call for Prince Andrew and Anne Sacoolas extradition exchange,Britain gave Palantir access to sensitive medical records of Covid-19 patients in £1 deal,"The NYT Admits Key Falsehoods That Drove Last Year’s Coup in Bolivia: Falsehoods Peddled by the U.S., its Media, and the NYT",France to abandon police chokeholds amid Floyd death anger,RCMP adding incels to terrorism awareness guide,"Asymptomatic spread of coronavirus is 'very rare', says WHO",UK diplomats fear end of special relationship if Trump re-elected,Australia launches investigation into police violence against TV crew,Brazil stops releasing Covid-19 death toll and wipes data from official site | World news,Thousands sign petition to replace toppled statue of Edward Colston in Bristol with anti-racism campaigner,Another mysterious radio burst in space is repeating a pattern. This one occurs every 157 days,"“We should stop attending to Muslim patients.”. WhatsApp chat between Rajasthan pvt hospital staff goes viral, cops begin probe",First arrivals under UK quarantine rules: 'They didn't even check my temperature',Kim Jong-un's Sister 'Now in Charge of Dealing with S.Korea',"Denmark wants 5G suppliers from closely allied countries, says defence minister",China warns U.S. not to start nuclear testing again after Trump Administration reportedly debates defying 30-year ban
